Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance_(%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access,Parent_Education,Family_Income,Stress_Level_(1-10)
S1010,Emma,Taylor,student10@univ.edu,Male,21,Data Science,70.35,69.73,42.52,91.11,57.3,52.8,83.43,63.604,D,10.5,No,No,PhD,Low,9
S1011,Fatima,Miller,student11@univ.edu,Male,22,Physics,74.93,81.65,51.55,88.43,66.46,37.4,94.29,71.7495,C,16.8,No,No,None,Low,10
S1012,Fatima,Williams,student12@univ.edu,Male,22,Business,76.67,44.16,65.47,85.68,68.51,38.3,64.65,64.5725,D,13.1,No,No,Bachelor's,Low,9
S1013,David,Jones,student13@univ.edu,Female,20,Engineering,82.97,84.71,90.04,91.37,87.41,96.7,56.78,83.79,B,6.5,No,No,Bachelor's,Low,1
S1014,Liam,Smith,student14@univ.edu,Male,20,Physics,52.08,60.28,68.78,55.02,93.31,71.9,72.83,69.303,C,27.9,No,No,Bachelor's,Medium,1
S1015,John,Smith,student15@univ.edu,Female,25,Business,86.07,61.08,75.18,83.92,87.34,68.7,98.07,78.9285,B,13.8,No,No,Master's,High,1
S1016,David,Davis,student16@univ.edu,Female,24,Physics,53.1,47.12,92.43,63.29,82.32,23.2,81.67,75.8665,B,33.4,Yes,No,PhD,Medium,8
S1017,David,Jones,student17@univ.edu,Female,18,Mathematics,73.41,48.81,58.53,89.29,88.3,55.9,82.2,69.216,C,31.6,No,Yes,High School,High,4
S1018,Ahmed,Jones,student18@univ.edu,Female,23,Business,91.38,51.15,82.04,97.84,86.92,35.7,83.58,79.195,B,26.5,Yes,Yes,High School,Medium,9
S1019,Sara,Williams,student19@univ.edu,Female,19,Business,72.56,59.69,91.7,95.07,73.79,24.0,51.99,77.1605,B,14.8,Yes,No,Bachelor's,High,6
S1020,Liam,Miller,student20@univ.edu,Male,21,Physics,57.45,93.52,52.16,55.75,66.79,89.6,72.28,66.183,C,13.4,No,No,None,Medium,3
S1021,Maria,Khan,student21@univ.edu,Female,20,CS,99.25,62.1,61.39,68.48,64.14,38.3,53.88,61.8815,D,19.3,No,No,None,High,8
S1022,David,Anderson,student22@univ.edu,Female,21,CS,94.46,83.46,98.79,68.22,83.97,28.3,65.79,83.9655,B,15.6,Yes,No,None,Low,1
S1023,Ali,Williams,student23@univ.edu,Female,23,Data Science,88.57,44.96,98.99,56.11,97.97,93.2,91.08,80.4125,B,32.0,Yes,No,None,Low,2
S1024,Hassan,Brown,student24@univ.edu,Male,23,Mathematics,70.58,75.47,53.39,54.91,79.05,19.7,82.81,66.296,C,8.7,No,Yes,High School,High,8
S1025,Sara,Smith,student25@univ.edu,Female,24,CS,59.19,68.91,43.99,69.24,95.63,74.6,99.78,68.876,C,26.7,Yes,No,High School,Low,1
S1026,Maria,Smith,student26@univ.edu,Female,22,Physics,97.07,98.68,56.26,99.6,50.71,65.3,58.61,70.765,C,23.3,Yes,No,PhD,High,5
S1027,Ali,Davis,student27@univ.edu,Male,24,CS,76.62,90.77,63.86,78.45,89.72,92.0,69.85,76.208,B,29.2,No,Yes,High School,High,3
S1028,Liam,Khan,student28@univ.edu,Female,19,Data Science,92.62,67.29,66.46,81.09,92.68,83.2,90.48,76.3565,B,21.3,Yes,No,PhD,Low,2
S1029,Omar,Brown,student29@univ.edu,Female,18,Engineering,67.1,86.51,77.13,73.55,81.55,70.5,60.78,76.6795,B,23.9,No,No,PhD,Low,4
S1030,Ali,Smith,student30@univ.edu,Male,21,Data Science,66.76,51.58,93.97,83.12,96.7,31.5,57.69,78.832,B,33.9,No,No,Master's,Medium,2
S1031,Lucas,Williams,student31@univ.edu,Female,19,Business,99.28,73.74,59.82,97.83,79.5,49.6,71.38,72.9915,C,7.8,Yes,Yes,High School,High,5
S1032,Sara,Brown,student32@univ.edu,Female,25,Business,76.09,44.48,91.0,79.43,62.03,94.4,69.19,72.3435,C,8.1,Yes,No,None,Medium,8
S1033,Zainab,Williams,student33@univ.edu,Female,18,CS,57.03,60.89,45.61,53.25,60.79,2.3,99.01,60.099,D,16.8,Yes,Yes,Bachelor's,High,4
S1034,Ali,Anderson,student34@univ.edu,Female,21,CS,60.98,53.55,42.51,74.64,77.79,79.4,72.81,59.3745,D,19.2,No,Yes,PhD,High,7
S1035,Sophia,Anderson,student35@univ.edu,Female,19,Data Science,74.1,83.13,70.24,99.64,95.32,25.2,93.05,84.4115,B,11.0,Yes,Yes,Bachelor's,Medium,5
S1036,Omar,Smith,student36@univ.edu,Male,20,Data Science,52.12,69.41,43.58,69.37,53.62,18.5,94.4,61.7435,D,7.5,Yes,No,None,Low,9
S1037,Fatima,Smith,student37@univ.edu,Male,21,Physics,73.13,85.06,63.55,79.69,80.22,23.2,57.89,71.9245,C,5.7,No,No,PhD,Medium,2
S1038,Fatima,Miller,student38@univ.edu,Male,19,Mathematics,70.95,70.92,93.81,55.33,88.49,6.0,85.77,81.456,B,27.9,Yes,No,PhD,Low,2
S1039,Lucas,Anderson,student39@univ.edu,Female,23,Physics,88.97,45.19,54.49,57.06,55.77,99.2,63.88,54.616,F,19.6,Yes,No,High School,Low,1
S1040,Ali,Khan,student40@univ.edu,Female,18,Business,67.75,84.12,82.36,93.73,55.84,87.0,54.74,76.2965,B,30.3,No,Yes,Master's,High,4
S1041,Ali,Khan,student41@univ.edu,Female,19,Physics,99.13,89.99,58.14,65.02,68.31,52.1,93.74,72.4075,C,15.8,No,Yes,Bachelor's,Medium,8
S1042,Hassan,Taylor,student42@univ.edu,Male,20,Data Science,59.04,94.21,42.7,65.27,63.69,71.5,64.62,62.824,D,26.1,Yes,No,None,Medium,5
S1043,Hassan,Taylor,student43@univ.edu,Female,24,Physics,79.55,74.32,73.4,69.36,59.92,55.7,67.27,70.0365,C,19.7,No,No,Master's,Low,5
S1044,Hassan,Davis,student44@univ.edu,Female,21,Engineering,54.48,85.22,90.09,98.32,59.93,81.2,66.2,82.243,B,23.4,Yes,No,Master's,Low,4
S1045,Ahmed,Anderson,student45@univ.edu,Female,25,Mathematics,86.69,85.12,64.57,54.22,56.53,84.5,60.01,65.2375,C,16.1,No,Yes,High School,High,7
S1046,Ali,Williams,student46@univ.edu,Male,21,Data Science,99.74,49.34,77.04,90.94,80.54,23.3,71.73,73.3135,C,7.4,No,No,PhD,High,10
S1047,Emma,Williams,student47@univ.edu,Male,21,CS,90.96,49.85,94.0,67.08,84.41,46.0,71.41,76.305,B,33.4,No,Yes,None,Low,8
S1048,John,Johnson,student48@univ.edu,Female,20,Physics,77.79,44.25,87.38,92.47,85.15,63.5,70.44,76.642,B,30.1,Yes,No,Master's,High,9
S1049,Sophia,Brown,student49@univ.edu,Female,18,Data Science,74.24,59.19,51.63,99.59,76.62,97.8,95.81,70.7115,C,14.4,No,No,Master's,Low,6
S1050,Ahmed,Wilson,student50@univ.edu,Female,21,CS,91.75,68.41,84.0,67.43,97.65,68.3,66.99,77.8925,B,33.8,No,Yes,Bachelor's,Medium,9
S1051,Liam,Taylor,student51@univ.edu,Male,18,CS,96.8,99.87,70.11,56.47,94.03,89.8,51.52,74.8155,C,14.0,No,Yes,None,High,1
S1052,Ahmed,Smith,student52@univ.edu,Male,19,Business,99.46,65.86,84.76,57.22,97.88,84.6,58.92,74.941,C,18.3,No,Yes,None,Medium,3
S1053,Emma,Davis,student53@univ.edu,Male,23,Business,69.83,83.57,69.67,87.94,69.44,58.2,86.07,77.616,B,27.7,Yes,Yes,Master's,Low,1
S1054,Liam,Khan,student54@univ.edu,Female,25,Data Science,99.55,81.6,47.68,57.25,93.89,89.4,79.54,67.61,C,14.3,No,Yes,PhD,High,5
S1055,Sophia,Wilson,student55@univ.edu,Male,23,Data Science,57.8,52.27,74.19,63.02,88.14,37.7,97.59,73.733,C,14.7,Yes,No,None,Low,8
S1056,Emma,Jones,student56@univ.edu,Female,18,Engineering,62.68,43.51,69.53,60.22,67.0,37.9,84.72,64.8285,D,17.3,Yes,No,None,Medium,6
S1057,Maria,Davis,student57@univ.edu,Female,18,Mathematics,54.45,72.76,71.08,67.78,55.33,78.1,59.71,66.853,C,19.1,No,Yes,Bachelor's,High,10
S1058,John,Jones,student58@univ.edu,Male,23,Mathematics,63.59,82.02,92.73,53.72,84.13,13.5,56.03,77.9415,B,8.7,Yes,No,Bachelor's,Medium,5
S1059,Sophia,Ahmed,student59@univ.edu,Female,21,Data Science,88.4,99.9,93.69,92.84,56.82,30.6,76.04,86.6265,A,5.5,No,Yes,Bachelor's,Medium,1
S1060,Ali,Anderson,student60@univ.edu,Male,22,Business,92.65,61.52,67.21,93.01,64.69,60.9,83.26,71.9715,C,32.6,Yes,Yes,PhD,Low,1
S1061,Hassan,Jones,student61@univ.edu,Female,22,Physics,88.94,93.78,67.34,70.65,75.02,42.0,58.28,72.9175,C,15.6,No,No,PhD,Medium,5
S1062,Maria,Jones,student62@univ.edu,Female,20,Engineering,81.55,62.92,70.91,80.6,83.99,94.1,80.08,74.103,C,8.1,Yes,No,None,Medium,5
S1063,Lucas,Ahmed,student63@univ.edu,Male,25,Mathematics,75.7,81.36,71.18,82.1,96.31,95.9,93.25,81.934,B,27.8,Yes,Yes,PhD,Medium,8
S1064,Sophia,Miller,student64@univ.edu,Female,24,Data Science,85.44,75.9,97.02,87.46,79.66,50.3,86.38,87.162,A,13.9,No,Yes,Bachelor's,Low,2
S1065,Lucas,Miller,student65@univ.edu,Female,23,Business,69.54,43.18,78.96,76.03,83.57,53.9,83.21,72.6935,C,10.4,No,No,PhD,Medium,7
S1066,Liam,Miller,student66@univ.edu,Female,23,Business,92.07,44.7,56.65,75.52,65.5,72.5,89.47,63.341,D,33.9,Yes,No,None,Low,5
S1067,Maria,Anderson,student67@univ.edu,Female,20,Business,83.86,41.25,71.89,81.57,84.36,45.7,55.2,66.581,C,32.6,Yes,No,Master's,High,2
S1068,John,Wilson,student68@univ.edu,Female,25,Physics,84.89,62.25,77.63,85.15,71.89,19.0,60.19,72.205,C,8.2,No,Yes,High School,High,5
S1069,Ali,Davis,student69@univ.edu,Female,22,CS,76.8,84.75,78.39,67.33,92.85,74.7,51.9,76.1985,B,32.0,Yes,Yes,PhD,Low,9
S1070,Ali,Davis,student70@univ.edu,Female,19,Physics,94.26,50.37,75.12,66.52,69.62,73.8,57.25,65.3745,C,31.7,Yes,Yes,Master's,High,5
S1071,Emma,Smith,student71@univ.edu,Female,21,Business,62.6,76.35,50.66,63.49,73.41,24.5,95.66,67.885,C,24.0,Yes,Yes,None,Medium,5
S1072,Ali,Miller,student72@univ.edu,Male,21,Data Science,69.06,57.33,42.02,77.44,71.63,83.3,61.11,57.7,D,20.9,No,Yes,Master's,Medium,2
S1073,Zainab,Anderson,student73@univ.edu,Male,19,Engineering,88.88,87.82,60.27,68.01,90.56,61.4,83.1,74.909,C,11.5,Yes,Yes,Master's,Low,9
S1074,David,Smith,student74@univ.edu,Female,19,Physics,74.64,87.9,65.65,77.02,97.68,23.6,84.58,79.4495,B,8.6,No,No,Master's,Medium,2
S1075,Ahmed,Brown,student75@univ.edu,Female,25,Data Science,94.46,86.52,43.71,70.3,66.36,65.2,82.27,65.442,C,23.2,No,No,Bachelor's,High,5
S1076,Hassan,Smith,student76@univ.edu,Male,22,Business,67.32,71.49,88.9,91.84,73.75,23.4,77.7,81.9065,B,29.7,Yes,No,PhD,High,2
S1077,Omar,Wilson,student77@univ.edu,Female,20,Engineering,68.47,57.07,60.64,53.66,85.3,26.5,74.31,64.6285,D,25.7,No,No,Master's,Low,2
S1078,John,Taylor,student78@univ.edu,Male,19,Mathematics,94.44,88.57,94.82,78.61,94.77,84.8,71.0,87.558,A,10.4,No,Yes,None,High,6
S1079,Maria,Jones,student79@univ.edu,Male,20,Mathematics,73.22,51.17,49.26,78.78,74.69,92.9,95.84,64.8715,D,13.7,No,No,High School,High,10
S1080,David,Miller,student80@univ.edu,Male,25,Data Science,75.81,57.39,43.42,69.19,55.44,25.7,50.48,52.9415,F,21.4,No,Yes,High School,High,3
S1081,John,Ahmed,student81@univ.edu,Female,24,Engineering,66.64,51.04,68.94,71.05,68.43,92.8,52.67,63.1595,D,23.7,No,Yes,High School,Low,10
S1082,Maria,Taylor,student82@univ.edu,Female,18,Data Science,63.83,80.45,51.35,90.01,77.52,23.9,74.63,70.3865,C,7.2,No,No,Bachelor's,Low,9
S1083,Hassan,Khan,student83@univ.edu,Female,21,Engineering,82.8,81.17,96.24,64.03,70.88,11.7,66.53,80.134,B,23.4,No,No,PhD,Medium,6
S1084,Sara,Smith,student84@univ.edu,Male,22,Engineering,55.99,79.15,40.62,93.57,59.33,5.8,70.41,63.5435,D,27.1,No,Yes,High School,High,10
S1085,Sara,Anderson,student85@univ.edu,Male,21,Data Science,93.96,64.94,64.76,94.82,51.85,24.2,99.89,72.638,C,10.4,Yes,No,Bachelor's,High,10
S1086,Lucas,Jones,student86@univ.edu,Male,22,Engineering,88.96,46.01,95.6,82.53,84.37,38.5,88.76,81.011,B,12.4,No,Yes,None,Low,2
S1087,John,Davis,student87@univ.edu,Female,25,Physics,59.54,94.67,63.07,88.64,99.64,92.8,93.87,83.331,B,12.8,Yes,No,None,High,1
S1088,Sara,Williams,student88@univ.edu,Male,18,Business,84.7,70.46,45.59,80.65,95.96,24.2,68.43,66.8045,C,33.2,No,No,Bachelor's,Medium,2
S1089,Zainab,Jones,student89@univ.edu,Male,21,Engineering,80.13,64.42,58.17,76.26,84.16,36.5,61.98,66.6035,C,17.2,No,Yes,PhD,High,10
S1090,Maria,Wilson,student90@univ.edu,Female,18,Physics,59.23,75.33,69.88,98.33,92.08,73.4,88.4,81.3455,B,20.9,Yes,No,None,Low,6
S1091,Lucas,Khan,student91@univ.edu,Male,25,Engineering,63.66,51.57,51.11,64.13,62.79,30.2,90.38,60.7975,D,26.7,Yes,Yes,PhD,High,2
S1092,Ali,Wilson,student92@univ.edu,Male,22,Physics,70.45,47.95,67.99,57.71,81.12,68.4,77.49,65.8345,C,16.1,Yes,Yes,Bachelor's,Medium,7
S1093,Maria,Smith,student93@univ.edu,Female,19,Data Science,84.96,64.33,90.18,64.37,53.03,43.2,94.8,76.259,B,8.2,Yes,No,None,Medium,7
S1094,Lucas,Brown,student94@univ.edu,Female,24,Mathematics,81.94,53.63,92.36,80.73,85.36,19.6,98.37,82.721,B,24.6,Yes,Yes,None,Low,1
S1095,Hassan,Wilson,student95@univ.edu,Male,21,CS,76.61,54.66,42.96,59.26,98.49,73.4,73.55,60.663,D,25.0,Yes,No,Master's,Medium,6
S1096,John,Wilson,student96@univ.edu,Female,18,Engineering,88.42,93.55,49.65,95.44,93.04,2.7,61.13,73.529,C,12.8,No,No,None,High,5
S1097,Hassan,Anderson,student97@univ.edu,Male,23,CS,87.9,71.85,56.52,70.55,76.72,29.2,75.86,67.6215,C,6.1,Yes,No,High School,Medium,8
S1098,David,Smith,student98@univ.edu,Female,21,Engineering,80.89,69.01,75.69,92.5,89.44,35.6,99.48,82.5065,B,25.0,No,No,Master's,Medium,8
S1099,Hassan,Jones,student99@univ.edu,Male,21,Data Science,89.35,81.37,61.66,62.46,97.19,45.8,64.65,71.5,C,26.1,Yes,Yes,Bachelor's,Low,9
S1100,Emma,Brown,student100@univ.edu,Female,21,Data Science,66.71,97.09,90.64,65.66,60.8,68.0,80.88,82.243,B,5.8,Yes,Yes,High School,Medium,2
S1101,Ali,Taylor,student101@univ.edu,Male,20,Physics,94.06,46.73,83.0,52.96,89.66,45.9,84.7,72.494,C,25.8,No,No,High School,Low,1
S1102,Sophia,Williams,student102@univ.edu,Female,18,Engineering,80.75,90.01,46.03,62.89,63.49,59.4,60.7,62.1745,D,33.2,No,No,PhD,High,10
S1103,Hassan,Miller,student103@univ.edu,Female,18,Data Science,91.12,75.04,77.47,74.52,93.85,59.6,79.42,79.291,B,10.4,Yes,Yes,Master's,Medium,6
S1104,David,Davis,student104@univ.edu,Female,21,Data Science,77.31,48.77,46.78,97.31,54.92,37.3,65.73,58.821,D,20.6,No,Yes,PhD,High,2
S1105,Liam,Wilson,student105@univ.edu,Female,25,Engineering,60.92,57.83,55.3,69.45,58.91,93.4,92.71,64.0815,D,25.9,Yes,No,Master's,High,5
S1106,Zainab,Smith,student106@univ.edu,Female,25,Physics,77.12,68.94,50.67,81.99,86.03,95.6,85.74,69.5865,C,11.9,Yes,No,Master's,Medium,1
S1107,Maria,Miller,student107@univ.edu,Female,19,Physics,68.56,81.47,50.38,71.39,58.74,58.2,91.31,67.143,C,27.5,No,No,High School,Medium,1
S1108,Liam,Davis,student108@univ.edu,Female,21,Physics,84.87,54.56,76.98,52.34,57.9,7.2,59.98,63.388,D,31.0,Yes,No,None,Low,5
S1109,David,Davis,student109@univ.edu,Male,20,Physics,73.79,72.09,73.82,75.18,77.77,49.1,51.73,70.957,C,29.4,No,Yes,PhD,Medium,6
S1110,Lucas,Taylor,student110@univ.edu,Male,22,Mathematics,91.81,81.08,50.56,53.3,91.75,18.4,92.53,69.549,C,12.8,No,No,PhD,Low,7
S1111,Sophia,Taylor,student111@univ.edu,Female,20,Engineering,83.9,66.92,99.41,94.18,63.42,48.3,69.34,82.2185,B,29.1,No,No,High School,Medium,4
S1112,Ali,Taylor,student112@univ.edu,Female,25,Mathematics,84.23,91.78,65.31,87.65,92.06,18.8,58.99,77.0195,B,17.4,Yes,No,None,Medium,4
S1113,Ali,Ahmed,student113@univ.edu,Male,19,Data Science,60.86,92.17,45.82,68.93,90.4,70.4,54.59,66.559,C,13.0,Yes,Yes,Master's,Medium,5
S1114,Ali,Johnson,student114@univ.edu,Male,25,Mathematics,99.21,68.24,47.23,82.01,78.96,8.0,75.83,65.6985,C,10.0,No,No,Master's,Medium,6
S1115,Zainab,Johnson,student115@univ.edu,Female,25,Physics,92.08,98.38,75.03,55.6,82.33,95.3,57.51,75.2525,B,32.3,Yes,Yes,None,Medium,8
S1116,Sophia,Davis,student116@univ.edu,Male,25,Data Science,89.45,44.54,98.74,85.13,52.02,19.5,78.33,75.789,B,17.8,Yes,No,Master's,Low,9
S1117,Zainab,Taylor,student117@univ.edu,Male,21,Mathematics,66.51,40.2,74.32,91.14,68.36,66.1,86.37,70.9325,C,31.0,No,No,PhD,Medium,7
S1118,Zainab,Anderson,student118@univ.edu,Female,25,Mathematics,76.78,62.84,96.94,91.09,63.17,91.7,76.75,81.1485,B,9.8,No,Yes,PhD,Low,10
S1119,Omar,Wilson,student119@univ.edu,Female,18,Engineering,56.86,76.07,66.65,64.21,57.5,24.8,95.18,71.075,C,28.0,Yes,No,PhD,Low,3
S1120,Sophia,Miller,student120@univ.edu,Female,24,Mathematics,76.92,77.75,66.15,63.19,69.48,93.4,57.78,67.27,C,8.3,No,No,High School,Medium,6
S1121,Emma,Miller,student121@univ.edu,Male,23,Data Science,57.29,68.59,70.0,76.07,67.75,38.9,74.7,70.996,C,5.5,Yes,Yes,Master's,Medium,9
S1122,Sophia,Johnson,student122@univ.edu,Female,21,Physics,77.65,47.49,81.85,98.39,86.44,96.1,58.16,74.594,C,34.9,Yes,Yes,High School,Medium,6
S1123,David,Davis,student123@univ.edu,Female,19,Engineering,82.44,50.23,62.06,96.03,79.9,97.1,93.8,72.2265,C,7.2,No,Yes,Master's,Low,10
S1124,Omar,Smith,student124@univ.edu,Male,18,Mathematics,69.51,91.13,91.83,67.98,95.66,18.8,96.61,89.404,A,18.8,No,Yes,PhD,High,8
S1125,Ali,Jones,student125@univ.edu,Female,20,Engineering,74.93,92.07,41.76,88.99,57.27,83.1,70.0,65.469,C,31.4,Yes,No,PhD,High,8
S1126,David,Jones,student126@univ.edu,Male,25,CS,93.78,80.43,66.39,96.07,52.99,19.3,65.29,71.475,C,29.6,Yes,No,None,Low,4
S1127,David,Johnson,student127@univ.edu,Male,22,Engineering,55.43,79.85,70.66,63.05,76.73,22.6,63.97,71.2635,C,19.1,Yes,Yes,Master's,Medium,7
S1128,Fatima,Smith,student128@univ.edu,Male,22,Physics,89.59,75.86,76.42,91.51,50.05,8.4,92.99,77.1015,B,23.3,No,No,Bachelor's,Medium,7
S1129,Ahmed,Ahmed,student129@univ.edu,Male,24,CS,58.54,52.18,56.56,63.39,89.39,15.7,84.12,65.767,C,23.9,No,No,High School,Low,7
S1130,Omar,Ahmed,student130@univ.edu,Male,21,CS,51.84,65.7,65.65,67.16,75.3,63.2,94.03,71.591,C,8.3,No,No,PhD,Medium,8
S1131,David,Johnson,student131@univ.edu,Male,20,Engineering,59.28,81.75,69.07,59.94,74.4,44.9,55.88,69.0575,C,13.5,No,No,None,Low,2
S1132,Ahmed,Jones,student132@univ.edu,Female,24,Data Science,88.25,72.24,81.21,75.35,68.12,79.1,73.8,75.462,B,14.0,Yes,No,None,Medium,2
S1133,Ahmed,Smith,student133@univ.edu,Female,23,Physics,70.26,41.11,86.41,92.17,68.75,33.2,83.81,75.175,B,16.3,Yes,No,PhD,Medium,6
S1134,Omar,Taylor,student134@univ.edu,Female,23,Data Science,93.63,97.21,84.27,76.4,71.56,96.9,94.85,85.358,A,13.2,Yes,No,Master's,Low,6
S1135,Fatima,Davis,student135@univ.edu,Male,24,Physics,76.24,90.69,60.49,56.17,50.8,5.0,69.1,65.72,C,12.5,Yes,Yes,None,High,5
S1136,Liam,Miller,student136@univ.edu,Female,19,Physics,51.11,55.63,99.97,62.59,54.18,6.3,65.65,73.4785,C,15.6,No,No,Master's,High,2
S1137,Lucas,Anderson,student137@univ.edu,Male,22,Data Science,85.84,76.99,90.92,78.14,75.25,70.1,95.65,84.576,B,16.4,No,Yes,None,High,8
S1138,Emma,Brown,student138@univ.edu,Female,20,Business,55.51,95.39,55.6,79.16,57.51,88.8,52.38,66.8955,C,19.6,No,No,High School,Medium,3
S1139,Lucas,Davis,student139@univ.edu,Male,21,CS,89.47,45.76,51.71,78.85,88.94,79.6,73.98,63.516,D,10.2,Yes,No,Master's,High,1
S1140,Sophia,Taylor,student140@univ.edu,Female,25,Engineering,58.41,70.18,58.84,53.85,63.72,49.0,72.93,63.205,D,28.7,Yes,Yes,None,High,1
S1141,Ali,Khan,student141@univ.edu,Male,18,Data Science,67.27,67.37,67.14,87.68,54.89,27.0,57.3,66.9535,C,30.8,No,Yes,PhD,High,7
S1142,Emma,Jones,student142@univ.edu,Female,21,Data Science,88.06,64.61,91.05,95.47,61.76,1.3,69.75,78.8365,B,12.4,Yes,Yes,Bachelor's,High,7
S1143,Sophia,Taylor,student143@univ.edu,Male,21,Engineering,97.71,90.14,86.7,75.53,67.85,50.9,86.13,82.7995,B,8.7,Yes,Yes,PhD,High,6
S1144,David,Khan,student144@univ.edu,Female,20,CS,68.57,62.84,91.07,85.94,51.77,47.6,68.34,75.35,B,26.7,Yes,Yes,Master's,High,6
S1145,Ali,Johnson,student145@univ.edu,Male,22,Engineering,91.47,43.82,56.32,95.7,57.08,34.4,65.48,61.215,D,32.7,Yes,Yes,PhD,Low,5
S1146,Maria,Smith,student146@univ.edu,Female,20,Physics,59.54,43.95,75.61,82.13,66.19,57.8,89.09,70.865,C,6.1,Yes,No,PhD,High,6
S1147,Omar,Miller,student147@univ.edu,Female,18,Business,90.36,42.56,56.99,83.72,65.52,72.9,99.44,65.7605,C,5.4,No,No,Bachelor's,Medium,2
S1148,Emma,Wilson,student148@univ.edu,Female,24,Physics,82.87,64.55,46.54,86.07,90.02,70.1,88.97,68.958,C,10.5,No,Yes,PhD,Low,5
S1149,Emma,Johnson,student149@univ.edu,Male,20,Business,59.64,83.1,81.05,63.03,92.16,26.3,92.32,82.114,B,25.5,Yes,No,None,Medium,2
S1150,Hassan,Davis,student150@univ.edu,Male,19,Engineering,65.13,52.22,48.58,79.13,59.67,58.5,96.98,62.814,D,33.9,Yes,Yes,High School,High,3
S1151,David,Johnson,student151@univ.edu,Male,21,Physics,56.59,78.79,80.06,92.11,56.2,14.9,90.09,79.539,B,27.5,Yes,Yes,Bachelor's,High,5
S1152,Liam,Davis,student152@univ.edu,Male,22,CS,69.15,81.23,78.88,64.81,81.71,12.2,99.02,80.685,B,22.2,No,Yes,Master's,High,1
S1153,Ahmed,Wilson,student153@univ.edu,Male,25,Physics,60.18,55.31,88.61,94.86,90.23,78.6,87.36,82.943,B,26.0,Yes,Yes,None,Medium,3
S1154,Ali,Williams,student154@univ.edu,Female,23,Data Science,82.2,76.03,48.37,81.02,98.19,69.4,83.08,71.479,C,11.9,Yes,No,Master's,High,10
S1155,David,Khan,student155@univ.edu,Male,18,Business,99.73,81.09,87.01,71.16,50.34,76.8,84.67,77.597,B,25.7,Yes,Yes,Bachelor's,High,6
S1156,Sara,Miller,student156@univ.edu,Female,23,Business,50.6,68.0,99.96,81.16,70.68,15.2,95.0,85.612,A,14.6,Yes,No,Bachelor's,High,2
S1157,Fatima,Anderson,student157@univ.edu,Female,21,CS,77.05,60.2,91.06,70.09,86.7,91.5,84.15,80.052,B,11.7,No,No,PhD,High,3
S1158,Ahmed,Anderson,student158@univ.edu,Male,20,Business,78.68,77.15,85.11,91.9,91.43,13.3,88.06,85.927,A,12.1,Yes,No,Bachelor's,High,9
S1159,Omar,Khan,student159@univ.edu,Female,23,Business,95.71,98.67,79.73,74.12,53.11,87.0,60.8,75.844,B,25.0,No,No,Master's,High,8
S1160,Ahmed,Brown,student160@univ.edu,Male,19,CS,75.3,65.61,65.31,95.06,84.03,35.2,95.63,77.1885,B,28.0,Yes,Yes,Bachelor's,Low,3
S1161,Liam,Taylor,student161@univ.edu,Male,20,Physics,77.19,63.5,83.83,75.49,64.45,10.5,72.36,73.8855,C,22.5,Yes,Yes,High School,High,7
